scenario_id,scenario_duration_id,hotspot_label,segment,edge_from,edge_to,is_top25_segment,top_segment_rank,selected_flow_count,estimated_offered_rate_mbps,isl_capacity_mbps,scheduled_load_ratio,edge_rank_by_load,mean_utilization,p95_utilization,max_utilization,utilization_sample_count,yellow_count,red_count,yellow_plus_red_count,br_path_decision_count,br_path_br_selected,br_path_sbr_selected,br_path_fallback,br_path_no_route,br_path_sbr_ratio,br_path_sbr_ratio_no_fallback,sbr_share_of_sample_global_sbr,decision_share_of_sample_global_decisions
H60,H60_60s,Hotspot-Moderate,135->175,135,175,True,4,5,10.0,10.0,1.0,35,0.4700964655172414,0.645517,0.777435,58,40,10,50,21611,21405,206,0,0,0.00953218268474388,0.00953218268474388,0.022148156112245996,0.007203666666666666
H60,H60_60s,Hotspot-Moderate,136->96,136,96,True,5,10,20.0,10.0,2.0,26,0.4323063620689655,0.622916,0.705269,58,54,27,81,2309,1622,687,0,0,0.2975313988739714,0.2975313988739714,0.07386302548113106,0.0007696666666666667
H60,H60_60s,Hotspot-Moderate,95->135,95,135,True,6,11,22.0,10.0,2.2,21,0.4489807931034483,0.605436,0.640452,58,66,18,84,24275,24122,153,0,0,0.006302780638516993,0.006302780638516993,0.016449844102784647,0.008091666666666667
H60,H60_60s,Hotspot-Moderate,136->176,136,176,True,7,4,8.0,10.0,0.8,39,0.4562761379310345,0.603212,0.63306,58,58,20,78,19379,18982,397,0,0,0.020486093193663242,0.020486093193663242,0.0426835824104935,0.0064596666666666665
H60,H60_60s,Hotspot-Moderate,96->136,96,136,True,8,10,20.0,10.0,2.0,25,0.46242577586206896,0.598781,0.620729,58,86,32,118,29061,28750,311,0,0,0.010701627610887443,0.010701627610887443,0.033437264810235456,0.009687
H60,H60_60s,Hotspot-Moderate,56->96,56,96,True,9,12,24.0,10.0,2.4,16,0.419034224137931,0.580605,0.680668,58,62,16,78,32517,32433,84,0,0,0.002583264138758188,0.002583264138758188,0.00903128695839157,0.010839
H60,H60_60s,Hotspot-Moderate,16->56,16,56,True,10,12,24.0,10.0,2.4,13,0.41826043103448274,0.580372,0.68643,58,49,26,75,39633,39604,29,0,0,0.0007317134710973179,0.0007317134710973179,0.0031179443070637565,0.013211
H60,H60_60s,Hotspot-Moderate,684->15,684,15,True,11,13,26.0,10.0,2.6,11,0.42402460344827586,0.580151,0.617186,58,43,32,75,1,0,1,0,0,1.0,1.0,0.00010751532093323298,3.3333333333333335e-07
H60,H60_60s,Hotspot-Moderate,524->564,524,564,True,12,10,20.0,10.0,2.0,27,0.39965244827586205,0.579318,0.613879,58,40,26,66,2,1,1,0,0,0.5,0.5,0.00010751532093323298,6.666666666666667e-07
H60,H60_60s,Hotspot-Moderate,603->643,603,643,True,13,11,22.0,10.0,2.2,23,0.44674618965517243,0.57076,0.587582,58,41,47,88,90,50,40,0,0,0.4444444444444444,0.4444444444444444,0.004300612837329319,3e-05
H60,H60_60s,Hotspot-Moderate,643->683,643,683,False,,12,24.0,10.0,2.4,18,0.4274792068965517,0.568356,0.595993,58,53,36,89,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,604->644,604,644,False,,13,26.0,10.0,2.6,8,0.4260179482758621,0.566445,0.615767,57,59,40,99,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,55->95,55,95,False,,13,26.0,10.0,2.6,4,0.42422851724137933,0.550558,0.558744,58,57,20,77,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,644->684,644,684,False,,13,26.0,10.0,2.6,10,0.41505512068965517,0.543123,0.554736,58,52,24,76,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,683->16,683,16,False,,12,24.0,10.0,2.4,19,0.39760498275862066,0.542621,0.56355,58,29,22,51,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,15->55,15,55,False,,13,26.0,10.0,2.6,1,0.39833951724137934,0.532858,0.582776,58,33,11,44,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,564->604,564,604,False,,13,26.0,10.0,2.6,6,0.38847598275862066,0.532245,0.586748,58,51,22,73,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,563->603,563,603,False,,10,20.0,10.0,2.0,28,0.37949855172413793,0.521494,0.549793,58,40,16,56,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,523->563,523,563,False,,6,12.0,10.0,1.2,32,0.36621843103448276,0.520018,0.556581,58,32,2,34,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,95->55,95,55,False,,13,26.0,10.0,2.6,5,0.3624892413793103,0.493062,0.617196,58,30,5,35,0,0,0,0,0,,,0.0,0.0
